id,name,gender,year,place,url,image
1122,"Friend, Ian",Male,1951,"Eastbourne, United Kingdom",http://www.tate.org.uk/art/artists/ian-friend-1122,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1215,"Greenfield, Graham",Male,1951,,http://www.tate.org.uk/art/artists/graham-greenfield-1215,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2210,"Klein, Astrid",Female,1951,"Köln, Deutschland",http://www.tate.org.uk/art/artists/astrid-klein-2210,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
16123,"Lawson, Thomas",Male,1951,"Glasgow, United Kingdom",http://www.tate.org.uk/art/artists/thomas-lawson-16123,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1560,"Makowski, Kazimierz",Male,1951,,http://www.tate.org.uk/art/artists/kazimierz-makowski-1560,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2228,"Mullican, Matt",Male,1951,"Santa Monica, United States",http://www.tate.org.uk/art/artists/matt-mullican-2228,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
9099,"Muñoz, Óscar",Male,1951,Colombia,http://www.tate.org.uk/art/artists/oscar-munoz-9099,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1750,"Pearsh, Kevin",Male,1951,"Melbourne, Australia",http://www.tate.org.uk/art/artists/kevin-pearsh-1750,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
1905,"Schnabel, Julian",Male,1951,"New York, United States",http://www.tate.org.uk/art/artists/julian-schnabel-1905,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2717,"Ward, David",Male,1951,"Wolverhampton, United Kingdom",http://www.tate.org.uk/art/artists/david-ward-2717,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
2246,"Lee, Catherine",Female,1950,"Pampa, United States",http://www.tate.org.uk/art/artists/catherine-lee-2246,http://www.tate.org.uk/art/images/work/P/P11/P11225_7.jpg
6667,"O'Donnell, Hugh",Male,1950,"London, United Kingdom",http://www.tate.org.uk/art/artists/hugh-odonnell-6667,http://www.tate.org.uk/art/images/work/P/P12/P12224_7.jpg
10069,"Mandel, Mike",Male,1950,"Los Angeles, United States",http://www.tate.org.uk/art/artists/mike-mandel-10069,http://www.tate.org.uk/art/images/work/P/P20/P20294_7.jpg
12038,"Ballen, Roger",Male,1950,"New York, United States",http://www.tate.org.uk/art/artists/roger-ballen-12038,http://www.tate.org.uk/art/images/work/P/P20/P20477_7.jpg
1307,"Holzer, Jenny",Female,1950,"Gallipolis, United States",http://www.tate.org.uk/art/artists/jenny-holzer-1307,http://www.tate.org.uk/art/images/work/T/T03/T03959_7.jpg
1192,"Gormley, Antony",Male,1950,"London, United Kingdom",http://www.tate.org.uk/art/artists/antony-gormley-1192,http://www.tate.org.uk/art/images/work/T/T06/T06984_7.jpg
2401,"Mucha, Reinhard",Male,1950,"Düsseldorf, Deutschland",http://www.tate.org.uk/art/artists/reinhard-mucha-2401,http://www.tate.org.uk/art/images/work/T/T07/T07170_7.jpg
2605,"Hugonin, James",Male,1950,"Barnard Castle, United Kingdom",http://www.tate.org.uk/art/artists/james-hugonin-2605,http://www.tate.org.uk/art/images/work/T/T07/T07220_7.jpg
7349,"Daniëls, René",Male,1950,"Eindhoven, Nederland",http://www.tate.org.uk/art/artists/rene-daniels-7349,http://www.tate.org.uk/art/images/work/T/T11/T11858_7.jpg
5448,"McFadyen, Jock",Male,1950,"Paisley, United Kingdom",http://www.tate.org.uk/art/artists/jock-mcfadyen-5448,http://www.tate.org.uk/art/images/work/T/T12/T12546_7.jpg
10329,"Kopystiansky, Svetlana",Female,1950,"Voronezh, Ukrayina",http://www.tate.org.uk/art/artists/svetlana-kopystiansky-10329,http://www.tate.org.uk/art/images/work/T/T12/T12607_7.jpg
7268,"Lord, Andrew",Male,1950,"Rochdale, United Kingdom",http://www.tate.org.uk/art/artists/andrew-lord-7268,http://www.tate.org.uk/art/images/work/T/T13/T13854_7.jpg
16646,"P-Orridge, Genesis",Male,1950,"Manchester, United Kingdom",http://www.tate.org.uk/art/artists/genesis-p-orridge-16646,http://www.tate.org.uk/art/images/work/T/T13/T13864_7.jpg
16015,"Caro, Antonio",Male,1950,"Bogotá, Colombia",http://www.tate.org.uk/art/artists/antonio-caro-16015,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
14308,"Espinoza, Eugenio",,1950,,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
